User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,Emotion_Binary,Cluster
30,31.0,Non-binary,Facebook,45.0,1.0,6.0,3.0,10.0,Sadness,0,0
31,21.0,Female,LinkedIn,65.0,2.0,13.0,4.0,14.0,Boredom,0,0
32,28.0,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness,0,1
33,31.0,Non-binary,Twitter,70.0,3.0,27.0,11.0,18.0,Neutral,0,0
34,32.0,Female,Instagram,130.0,6.0,88.0,15.0,30.0,Sadness,0,1
35,27.0,Male,Facebook,65.0,2.0,22.0,8.0,20.0,Anxiety,0,0
36,28.0,Non-binary,LinkedIn,55.0,1.0,10.0,5.0,11.0,Boredom,0,0
37,28.0,Female,Instagram,170.0,7.0,90.0,25.0,40.0,Happiness,0,1
38,27.0,Male,Twitter,85.0,4.0,35.0,15.0,20.0,Anger,0,2
39,26.0,Female,Instagram,115.0,3.0,55.0,12.0,25.0,Neutral,0,2
40,35.0,Non-binary,Facebook,100.0,2.0,18.0,10.0,22.0,Anxiety,0,0
41,31.0,Male,LinkedIn,45.0,1.0,6.0,2.0,9.0,Sadness,0,0
42,26.0,Female,Instagram,150.0,6.0,80.0,18.0,30.0,Happiness,0,1
43,29.0,Male,Twitter,95.0,4.0,40.0,20.0,22.0,Anger,0,2
44,23.0,Non-binary,Facebook,105.0,2.0,20.0,8.0,18.0,Neutral,0,0
45,30.0,Female,LinkedIn,60.0,1.0,12.0,5.0,14.0,Boredom,0,0
46,29.0,Male,Instagram,175.0,7.0,85.0,23.0,38.0,Happiness,0,1
47,27.0,Female,Twitter,90.0,3.0,33.0,12.0,20.0,Sadness,0,2
48,34.0,Non-binary,Facebook,75.0,2.0,28.0,11.0,18.0,Anxiety,0,0
49,25.0,Male,Instagram,130.0,5.0,70.0,19.0,31.0,Neutral,0,2
50,23.0,Female,LinkedIn,55.0,1.0,8.0,4.0,10.0,Boredom,0,0
51,34.0,Male,Instagram,165.0,6.0,78.0,22.0,27.0,Happiness,0,1
52,28.0,Female,Twitter,75.0,3.0,29.0,15.0,19.0,Anger,0,2
53,23.0,Non-binary,Facebook,85.0,2.0,25.0,7.0,20.0,Neutral,0,0
54,24.0,Female,Instagram,145.0,4.0,60.0,18.0,35.0,Sadness,0,2
55,28.0,Male,LinkedIn,60.0,1.0,10.0,3.0,17.0,Anxiety,0,0
56,27.0,Female,Whatsapp,70.0,2.0,40.0,8.0,21.0,Anxiety,0,0
57,27.0,Male,Telegram,90.0,3.0,20.0,10.0,22.0,Boredom,0,0
58,28.0,Non-binary,Snapchat,50.0,2.0,15.0,5.0,18.0,Sadness,0,0
59,27.0,Female,Twitter,95.0,4.0,45.0,20.0,25.0,Happiness,0,2
60,25.0,Male,Facebook,60.0,1.0,10.0,4.0,15.0,Boredom,0,0
61,28.0,Female,Instagram,175.0,6.0,70.0,23.0,33.0,Happiness,0,1
62,27.0,Male,Whatsapp,70.0,3.0,20.0,8.0,18.0,Anger,0,0
63,27.0,Non-binary,Telegram,80.0,2.0,18.0,7.0,20.0,Neutral,0,0
64,29.0,Female,Snapchat,120.0,4.0,50.0,15.0,30.0,Anxiety,0,2
65,23.0,Male,Twitter,90.0,6.0,40.0,12.0,26.0,Sadness,0,2
66,23.0,Non-binary,Facebook,60.0,1.0,8.0,2.0,12.0,Boredom,0,0
67,23.0,Male,Instagram,165.0,5.0,75.0,18.0,35.0,Happiness,0,2
68,23.0,Female,Whatsapp,65.0,2.0,25.0,8.0,20.0,Neutral,0,0
69,26.0,Male,Telegram,105.0,3.0,45.0,15.0,28.0,Anxiety,0,2
70,27.0,Non-binary,Snapchat,75.0,2.0,18.0,6.0,20.0,Sadness,0,0
71,30.0,Female,Instagram,140.0,4.0,60.0,18.0,30.0,Happiness,0,2
72,35.0,Male,Twitter,70.0,1.0,12.0,7.0,10.0,Boredom,0,0
73,29.0,Non-binary,Facebook,55.0,3.0,15.0,5.0,12.0,Neutral,0,0
74,31.0,Female,Whatsapp,90.0,2.0,20.0,9.0,22.0,Anger,0,0
75,31.0,Male,Telegram,80.0,4.0,28.0,11.0,25.0,Neutral,0,2
76,27.0,Non-binary,Snapchat,115.0,3.0,36.0,12.0,27.0,Anxiety,0,2
77,22.0,Female,Instagram,155.0,6.0,72.0,20.0,38.0,Happiness,0,1
78,31.0,Male,Twitter,75.0,2.0,22.0,10.0,18.0,Sadness,0,0
79,26.0,Non-binary,Facebook,65.0,1.0,12.0,5.0,14.0,Anxiety,0,0
80,32.0,Female,Whatsapp,90.0,4.0,35.0,14.0,20.0,Neutral,0,2
81,26.0,Male,Telegram,50.0,2.0,18.0,6.0,12.0,Sadness,0,0
82,29.0,Non-binary,Snapchat,85.0,3.0,30.0,13.0,18.0,Happiness,0,2
83,21.0,Female,Instagram,120.0,5.0,55.0,19.0,25.0,Anger,0,2
84,22.0,Male,Twitter,70.0,1.0,20.0,5.0,22.0,Neutral,0,0
85,29.0,Non-binary,Facebook,75.0,2.0,18.0,8.0,20.0,Boredom,0,0
86,24.0,Female,Whatsapp,100.0,4.0,35.0,12.0,26.0,Anxiety,0,2
87,26.0,Male,Telegram,85.0,3.0,40.0,15.0,28.0,Sadness,0,2
88,28.0,Non-binary,Snapchat,60.0,1.0,15.0,5.0,12.0,Neutral,0,0
89,32.0,Female,Instagram,170.0,6.0,78.0,22.0,33.0,Happiness,0,1
90,30.0,Male,Twitter,70.0,2.0,28.0,10.0,20.0,Anxiety,0,0
91,28.0,Non-binary,Facebook,50.0,1.0,8.0,2.0,10.0,Boredom,0,0
92,33.0,Female,Whatsapp,105.0,4.0,50.0,18.0,25.0,Anger,0,2
93,23.0,Male,Telegram,75.0,3.0,33.0,13.0,22.0,Neutral,0,2
94,29.0,Female,Snapchat,95.0,2.0,20.0,7.0,28.0,Sadness,0,0
95,28.0,Male,Instagram,150.0,5.0,65.0,20.0,30.0,Anxiety,0,2
96,26.0,Non-binary,Twitter,85.0,4.0,30.0,13.0,18.0,Boredom,0,2
97,26.0,Female,Facebook,70.0,1.0,12.0,5.0,10.0,Neutral,0,0
98,27.0,Male,Whatsapp,110.0,3.0,45.0,20.0,25.0,Happiness,0,2
99,22.0,Non-binary,Telegram,60.0,2.0,15.0,6.0,18.0,Anger,0,0
100,33.0,Female,Snapchat,120.0,4.0,38.0,13.0,22.0,Neutral,0,2
101,24.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness,0,2
102,24.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger,0,2
103,27.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral,0,0
104,27.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety,0,1
105,27.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom,0,0
106,27.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness,0,1
107,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger,0,2
108,27.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness,0,2
109,27.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral,0,0
110,27.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness,0,1
111,27.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety,0,2
112,27.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness,0,2
113,27.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom,0,0
114,27.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness,0,1
115,27.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger,0,1
116,27.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral,0,0
117,27.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety,0,2
118,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness,0,2
119,27.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral,0,0
120,27.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness,0,1
121,27.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety,0,0
122,27.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger,0,2
123,27.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom,0,0
124,27.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness,0,1
125,27.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness,0,2
126,27.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral,0,0
127,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety,0,0
128,27.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness,0,1
129,27.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger,0,2
130,27.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness,0,0
131,27.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom,0,0
132,27.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness,0,1
133,27.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral,0,2
134,27.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness,0,1
135,27.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety,0,0
136,27.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom,0,0
137,27.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness,0,1
138,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger,0,2
139,27.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral,0,2
140,27.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety,0,0
141,27.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness,0,0
142,27.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness,0,1
143,27.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger,0,2
144,27.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral,0,0
145,27.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom,0,0
146,27.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness,0,1
147,27.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness,0,2
148,27.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety,0,0
149,27.0,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral,0,1
150,27.0,Female,LinkedIn,55.0,1.0,12.0,6.0,10.0,Boredom,0,0
151,27.0,Male,Instagram,165.0,6.0,85.0,30.0,28.0,Happiness,0,1
152,27.0,Female,Twitter,75.0,3.0,33.0,18.0,19.0,Anger,0,2
153,27.0,Non-binary,Facebook,85.0,2.0,27.0,9.0,20.0,Neutral,0,0
154,27.0,Female,Instagram,145.0,4.0,65.0,23.0,35.0,Sadness,0,2
155,27.0,Male,LinkedIn,60.0,1.0,15.0,7.0,17.0,Anxiety,0,0
156,27.0,Female,Whatsapp,70.0,2.0,42.0,10.0,21.0,Anxiety,0,0
157,27.0,Male,Telegram,90.0,3.0,22.0,11.0,22.0,Boredom,0,0
158,27.0,Non-binary,Snapchat,50.0,2.0,18.0,7.0,18.0,Sadness,0,0
159,27.0,Female,Twitter,95.0,4.0,48.0,22.0,25.0,Happiness,0,2
160,27.0,Male,Facebook,60.0,1.0,12.0,5.0,15.0,Boredom,0,0
161,27.0,Female,Instagram,175.0,6.0,72.0,30.0,33.0,Happiness,0,1
162,27.0,Male,Whatsapp,70.0,3.0,22.0,10.0,18.0,Anger,0,0
163,27.0,Non-binary,Telegram,80.0,2.0,21.0,8.0,20.0,Neutral,0,0
164,27.0,Female,Snapchat,120.0,4.0,55.0,18.0,30.0,Anxiety,0,2
165,27.0,Male,Twitter,90.0,6.0,42.0,14.0,26.0,Sadness,0,2
166,27.0,Non-binary,Facebook,60.0,1.0,12.0,4.0,12.0,Boredom,0,0
167,27.0,Male,Instagram,165.0,5.0,78.0,23.0,35.0,Happiness,0,1
168,27.0,Female,Whatsapp,65.0,2.0,27.0,10.0,20.0,Neutral,0,0
169,27.0,Male,Telegram,105.0,3.0,48.0,20.0,28.0,Anxiety,0,2
170,27.0,Non-binary,Snapchat,75.0,2.0,21.0,8.0,20.0,Sadness,0,0
171,27.0,Female,Instagram,140.0,4.0,65.0,22.0,30.0,Happiness,0,2
172,27.0,Male,Twitter,70.0,1.0,13.0,8.0,10.0,Boredom,0,0
173,27.0,Non-binary,Facebook,55.0,3.0,17.0,7.0,12.0,Neutral,0,0
174,27.0,Female,Whatsapp,90.0,2.0,24.0,12.0,22.0,Anger,0,0
175,27.0,Male,Telegram,80.0,4.0,30.0,13.0,25.0,Neutral,0,2
176,27.0,Non-binary,Snapchat,115.0,3.0,38.0,18.0,27.0,Anxiety,0,2
177,27.0,Female,Instagram,155.0,6.0,75.0,25.0,38.0,Happiness,0,1
178,27.0,Male,Twitter,75.0,2.0,23.0,12.0,18.0,Sadness,0,0
179,27.0,Non-binary,Facebook,65.0,1.0,13.0,7.0,14.0,Anxiety,0,0
180,27.0,Female,Whatsapp,90.0,4.0,37.0,18.0,20.0,Neutral,0,2
181,27.0,Male,Telegram,50.0,2.0,20.0,10.0,12.0,Sadness,0,0
182,27.0,Non-binary,Snapchat,85.0,3.0,33.0,20.0,18.0,Happiness,0,2
183,27.0,Female,Instagram,120.0,5.0,60.0,25.0,25.0,Anger,0,2
184,27.0,Male,Twitter,70.0,1.0,22.0,7.0,22.0,Neutral,0,0
185,27.0,Non-binary,Facebook,75.0,2.0,20.0,8.0,20.0,Boredom,0,0
186,27.0,Female,Whatsapp,100.0,4.0,37.0,14.0,26.0,Anxiety,0,2
187,27.0,Male,Telegram,85.0,3.0,45.0,20.0,28.0,Sadness,0,2
188,27.0,Non-binary,Snapchat,60.0,1.0,18.0,7.0,12.0,Neutral,0,0
189,27.0,Female,Instagram,170.0,6.0,83.0,30.0,33.0,Happiness,0,1
190,27.0,Male,Twitter,70.0,2.0,30.0,12.0,20.0,Anxiety,0,0
191,27.0,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom,0,0
192,27.0,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger,0,2
193,27.0,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral,0,2
194,27.0,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness,0,0
195,27.0,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety,0,1
196,27.0,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom,0,2
197,27.0,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral,0,0
198,27.0,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness,0,2
199,27.0,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger,0,0
200,27.0,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral,0,2
201,27.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness,0,2
202,27.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger,0,2
203,27.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral,0,0
204,27.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety,0,1
205,27.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom,0,0
206,27.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness,0,1
207,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger,0,2
208,27.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness,0,2
209,27.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral,0,0
210,27.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness,0,1
211,27.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety,0,2
212,27.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness,0,2
213,27.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom,0,0
214,27.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness,0,1
215,27.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger,0,1
216,27.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral,0,0
217,27.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety,0,2
218,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness,0,2
219,27.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral,0,0
220,27.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness,0,1
221,27.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety,0,0
222,27.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger,0,2
223,27.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom,0,0
224,27.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness,0,1
225,27.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness,0,2
226,27.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral,0,0
227,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety,0,0
228,27.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness,0,1
229,27.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger,0,2
230,27.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness,0,0
231,27.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom,0,0
232,27.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness,0,1
233,27.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral,0,2
234,27.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness,0,1
235,27.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety,0,0
236,27.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom,0,0
237,27.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness,0,1
238,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger,0,2
239,27.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral,0,2
240,27.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety,0,0
241,27.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness,0,0
242,27.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness,0,1
243,27.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger,0,2
244,27.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral,0,0
245,27.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom,0,0
246,27.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness,0,1
247,27.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness,0,2
248,27.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety,0,0
249,27.0,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral,0,1
250,27.0,Female,LinkedIn,55.0,1.0,12.0,6.0,10.0,Boredom,0,0
289,27.0,Female,Instagram,170.0,6.0,83.0,30.0,33.0,Happiness,0,1
290,27.0,Male,Twitter,70.0,2.0,30.0,12.0,20.0,Anxiety,0,0
291,27.0,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom,0,0
292,27.0,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger,0,2
293,27.0,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral,0,2
294,27.0,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness,0,0
295,27.0,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety,0,1
296,27.0,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom,0,2
297,27.0,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral,0,0
298,27.0,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness,0,2
299,27.0,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger,0,0
300,27.0,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral,0,2
301,27.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness,0,2
302,27.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger,0,2
303,27.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral,0,0
304,27.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety,0,1
305,27.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom,0,0
306,27.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness,0,1
307,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger,0,2
308,27.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness,0,2
309,27.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral,0,0
310,27.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness,0,1
311,27.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety,0,2
312,27.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness,0,2
313,27.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom,0,0
314,27.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness,0,1
315,27.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger,0,1
316,27.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral,0,0
317,27.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety,0,2
318,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness,0,2
319,27.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral,0,0
320,27.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness,0,1
321,27.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety,0,0
322,27.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger,0,2
323,27.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom,0,0
324,27.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness,0,1
325,27.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness,0,2
326,27.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral,0,0
327,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety,0,0
328,27.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness,0,1
329,27.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger,0,2
330,27.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness,0,0
331,27.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom,0,0
332,27.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness,0,1
333,27.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral,0,2
334,27.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness,0,1
335,27.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety,0,0
336,27.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom,0,0
337,27.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness,0,1
338,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger,0,2
339,27.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral,0,2
340,27.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety,0,0
341,27.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness,0,0
342,27.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness,0,1
343,27.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger,0,2
344,27.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral,0,0
345,27.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom,0,0
346,27.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness,0,1
347,27.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness,0,2
348,27.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety,0,0
349,27.0,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral,0,1
